
 ___________
\___________/
     ___________      ______
    \___________/     | ___ \
 ___________          | |_/ /__ _ __ ___  ___  ___
\___________/         |  __/ _ \ '__/ __|/ _ \/ __|
 ___                  | | |  __/ |  \__ \  __/\__ \
\___/                 \_|  \___|_|  |___/\___||___/  0.53.1
__________________________________________________________

⇨ http server started on [::]:8080
time="2026-05-08T22:31:41+02:00" level=warning msg="unable to retrieve the service associated to \"EphemeralDashboard\"" error="resource \"EphemeralDashboard\" not supported by the provisioning service"
time="2026-05-08T22:31:43+02:00" level=info method=GET status=200 uri=/api/v1/health
time="2026-05-08T22:31:43+02:00" level=info method=GET status=200 uri=/api/config
time="2026-05-08T22:33:47+02:00" level=info method=GET status=200 uri=/api/v1/health
time="2026-05-08T22:36:15+02:00" level=info method=GET status=200 uri=/api/config
time="2026-05-08T22:36:15+02:00" level=info method=GET status=401 uri=/api/v1/user/whoami
time="2026-05-08T22:36:15+02:00" level=info method=GET status=200 uri=/api/v1/health
time="2026-05-08T22:36:15+02:00" level=info method=POST status=400 uri=/api/auth/refresh
time="2026-05-08T22:36:40+02:00" level=info method=GET status=200 uri=/api/config
time="2026-05-08T22:36:40+02:00" level=info method=GET status=401 uri=/api/v1/user/whoami
time="2026-05-08T22:36:40+02:00" level=info method=GET status=200 uri=/api/v1/health
time="2026-05-08T22:36:40+02:00" level=info method=POST status=400 uri=/api/auth/refresh
time="2026-05-08T22:37:18+02:00" level=info method=POST status=200 uri=/api/auth/providers/native/login
time="2026-05-08T22:37:18+02:00" level=info method=GET status=200 uri=/api/v1/user/whoami
time="2026-05-08T22:37:18+02:00" level=info method=GET status=200 uri=/api/v1/users/admin/permissions
time="2026-05-08T22:37:18+02:00" level=info method=GET status=200 uri=/api/v1/user/whoami
time="2026-05-08T22:37:18+02:00" level=info method=GET status=200 uri=/api/v1/projects
time="2026-05-08T22:37:18+02:00" level=info method=GET status=200 uri=/api/config
time="2026-05-08T22:37:18+02:00" level=info method=GET status=200 uri="/api/v1/dashboards?metadata_only=true"
time="2026-05-08T22:37:46+02:00" level=info method=GET status=200 uri=/api/v1/plugins
time="2026-05-08T22:37:54+02:00" level=info method=GET status=200 uri=/api/v1/plugins
time="2026-05-08T22:38:00+02:00" level=info method=GET status=200 uri=/api/v1/plugins
time="2026-05-08T22:39:50+02:00" level=info method=GET status=200 uri=/api/config
time="2026-05-08T22:39:57+02:00" level=info method=POST status=200 uri=/api/v1/plugins/dev
time="2026-05-08T22:40:13+02:00" level=info method=GET status=200 uri=/api/v1/plugins
time="2026-05-08T22:40:23+02:00" level=info method=POST status=401 uri=/api/v1/globaldatasources
time="2026-05-08T22:40:31+02:00" level=info method=POST status=200 uri=/api/auth/providers/native/login
time="2026-05-08T22:40:31+02:00" level=info method=POST status=401 uri=/api/v1/globaldatasources
time="2026-05-08T22:40:37+02:00" level=info method=POST status=200 uri=/api/auth/providers/native/login
time="2026-05-08T22:40:46+02:00" level=info method=POST status=200 uri=/api/auth/providers/native/login
time="2026-05-08T22:40:46+02:00" level=info method=POST status=200 uri=/api/v1/globaldatasources
time="2026-05-08T22:41:00+02:00" level=info method=POST status=200 uri=/api/auth/providers/native/login
